,EMPLOYEE #,satisfaction_level,last_evaluation
235,2434,0.83,0.85
236,2444,0.4,0.53
237,41054,0.43,0.45
238,41767,0.43,0.53
239,64871,0.1,0.97
240,2468,0.1,0.87
241,2475,0.37,0.46
242,2476,0.38,0.53
243,97541,0.4,0.5
244,2488,0.89,0.86
245,42255,0.45,0.46
246,98548,0.37,0.48
247,25138,0.46,0.49
248,2514,0.87,0.91
249,2515,0.11,0.84
250,2523,0.79,0.87
251,2561,0.79,0.92
252,2565,0.19,0.59
253,2568,0.87,0.98
254,2571,0.6,0.92
255,2579,0.44,0.45
256,44247,0.11,0.81
257,2605,0.42,0.54
258,2613,0.88,0.88
259,45097,0.11,0.84
260,2630,0.46,0.46
261,2632,0.82,0.97
262,2634,0.44,0.56
263,2645,0.11,0.78
264,45783,0.42,0.5
265,2658,0.84,0.93
266,2665,0.11,0.95
267,2672,0.45,0.53
268,2675,0.38,0.56
269,2677,0.38,0.86
270,49125,0.44,0.51
271,2679,0.11,0.84
272,2684,0.81,0.93
273,2692,0.09,0.96
274,2693,0.11,0.9
275,2699,0.81,0.95
276,2701,0.1,0.97
277,2727,0.74,0.89
278,49502,0.09,0.78
279,53338,0.82,0.81
280,2748,0.1,0.98
281,54165,0.27,0.56
282,2753,0.83,0.92
283,2766,0.1,0.93
284,2767,0.38,0.47
285,2770,0.4,0.56
286,2771,0.11,0.83
287,2773,0.11,0.79
288,2777,0.82,0.91
289,2782,0.36,0.48
290,27617,0.4,0.46
291,2784,0.87,0.84
292,2786,0.41,0.49
293,55195,0.11,0.91
294,2807,0.1,0.93
295,2821,0.38,0.51
296,55937,0.39,0.55
297,2831,0.4,0.52
298,56819,0.45,0.48
299,56864,0.74,0.84
300,2841,0.45,0.55
301,2847,0.12,1.0
302,57006,0.1,0.77
303,2880,0.37,0.55
304,2881,0.89,0.87
305,2882,0.45,0.47
306,57209,0.37,0.46
307,2896,0.11,0.81
308,2899,0.41,0.48
309,2901,0.1,0.94
310,2912,0.1,0.93
311,2916,0.11,0.95
312,2921,0.4,0.54
313,2923,0.41,0.49
314,2924,0.1,0.81
315,58161,0.73,0.86
316,2932,0.43,0.47
317,2933,0.37,0.46
318,2940,0.11,0.94
319,2944,0.4,0.46
320,2945,0.41,0.54
321,2949,0.82,0.84
322,2972,0.61,0.47
323,58798,0.11,0.91
324,2988,0.37,0.45
325,2990,0.41,0.52
326,58972,0.37,0.52
327,59323,0.88,0.99
328,3010,0.1,0.85
329,3011,0.44,0.48
330,3013,0.38,0.57
331,59644,0.11,0.85
332,3022,0.09,0.98
333,3024,0.45,0.52
334,59872,0.1,0.81
335,3042,0.45,0.47
336,3047,0.77,0.87
337,3048,0.44,0.51
338,3064,0.39,0.5
339,3069,0.1,0.91
340,3091,0.09,0.89
341,3093,0.37,0.47
342,60841,0.9,1.0
343,3096,0.41,0.56
344,3100,0.37,0.52
345,3101,0.1,0.86
346,61868,0.81,1.0
347,3120,0.11,0.8
348,3122,0.11,0.84
349,3132,0.4,0.46
350,3137,0.09,0.8
351,64897,0.48,0.93
352,3150,,0.91
353,3159,0.43,0.57
354,3160,0.33,0.88
355,3165,0.41,0.57
356,65495,0.41,0.55
357,3179,0.37,0.54
358,3185,0.31,0.62
359,3191,0.09,0.91
360,66022,0.1,0.87
361,3195,0.76,0.9
362,3204,0.41,0.54
363,3205,0.72,0.96
364,66592,0.4,0.5
365,3217,0.91,0.87
366,68266,0.1,0.83
367,3233,0.4,0.56
368,3234,0.82,0.86
369,3238,0.1,0.82
370,3240,0.37,0.45
371,68351,0.36,0.51
372,3245,0.39,0.48
373,3246,0.36,0.57
374,68379,0.86,0.84
375,3249,0.73,0.99
376,3250,0.56,
377,69294,0.44,0.56
378,3259,0.31,0.56
379,3260,0.77,0.93
380,3262,0.44,0.45
381,40488,0.38,0.46
382,3288,0.45,0.48
383,3289,0.38,0.51
384,3297,0.36,0.48
385,3305,0.75,0.9
386,3306,0.1,0.93
387,3309,0.1,0.97
388,3311,0.45,0.5
389,48921,0.42,0.57
390,99746,0.78,1.0
391,73366,0.45,0.55
392,73530,0.84,1.0
393,3332,0.11,0.93
394,3344,0.42,0.56
395,3347,0.45,0.46
396,3350,0.46,0.57
397,3354,0.09,0.79
398,3369,0.87,0.83
399,3381,0.1,0.87
400,3396,0.91,1.0
401,74142,0.76,0.92
402,3405,,1.0
403,3406,0.92,0.93
404,74582,0.76,0.87
405,3422,0.47,0.5
406,3425,0.73,0.99
407,75664,0.09,0.94
408,3461,0.91,0.92
409,76341,0.82,0.98
410,3465,0.28,0.45
411,77736,0.84,0.99
412,3482,0.45,0.53
413,3484,0.45,0.54
414,3502,0.91,0.97
415,78076,0.42,0.48
416,3506,0.82,1.0
417,3517,0.11,0.9
418,3518,0.42,0.53
419,3521,0.82,0.85
420,3530,0.09,0.96
421,3531,0.1,0.94
422,3535,0.86,1.0
423,3536,0.4,0.46
424,3546,0.45,0.46
425,3548,0.42,0.51
426,3550,0.74,0.92
427,78130,,0.6
428,3569,0.37,0.45
429,3573,0.41,0.52
430,3574,0.89,0.65
431,3575,0.41,0.57
432,3588,0.44,0.51
433,3596,0.87,0.84
434,3597,0.1,0.84
435,3598,0.41,0.47
436,12625,0.11,0.85
437,79881,0.43,0.53
438,3615,0.77,0.9
439,3623,0.41,0.52
440,3633,0.41,0.48
441,3634,0.36,0.78
442,3635,0.77,
443,3636,0.81,0.98
444,3643,0.39,0.54
445,3654,0.09,0.94
446,3655,0.44,0.46
447,3658,0.1,0.84
448,3664,0.36,0.48
449,3665,0.81,0.92
450,3667,0.81,0.9
451,3669,0.85,0.98
452,3686,0.1,0.87
453,3694,0.37,0.54
454,3697,0.09,0.97
455,3699,0.44,0.53
456,3700,0.86,0.93
457,3706,0.77,1.0
458,3707,0.41,0.48
459,3719,0.4,0.48
460,3722,0.43,0.49
461,81317,0.43,0.5
462,82607,0.8,0.53
463,3736,0.8,0.85
464,3743,0.82,0.98
465,3745,0.37,0.54
466,3747,0.37,0.48
467,3754,0.09,0.95
468,3755,,0.92
469,3771,0.41,0.52
470,3788,0.1,0.85
471,83066,0.44,0.53
472,3799,0.89,0.85
473,3807,0.42,0.56
474,3813,0.87,1.0
475,3826,0.45,0.57
476,3832,0.11,0.87
477,3857,0.09,0.79
478,3860,0.76,0.83
479,3868,0.11,0.96
480,3874,0.37,0.49
481,3876,0.1,0.79
482,3877,0.77,0.87
483,3879,0.42,0.54
484,3888,0.38,0.52
485,20539,0.32,0.95
486,3897,0.38,0.49
487,83745,0.19,1.0
488,3914,0.1,0.83
489,3916,0.76,0.88
490,3918,0.53,0.56
491,3921,0.39,0.51
492,3924,0.11,0.83
493,84739,0.1,0.94
494,3927,0.84,1.0
495,3930,0.82,0.99
496,3945,0.1,0.82
497,3949,0.59,0.49
498,3959,0.44,0.48
499,85378,0.89,0.95
500,3968,0.91,0.84
501,3969,0.66,0.57
502,3972,0.11,0.87
503,3976,0.43,0.51
504,3978,0.78,0.83
505,3982,0.11,0.97
506,85447,0.83,0.98
507,86971,0.39,0.54
508,3996,0.38,0.55
509,86978,0.37,0.57
510,42623,0.44,0.48
511,4000,0.53,0.85
512,4011,0.09,0.96
513,4013,0.11,0.89
514,4027,0.83,0.96
515,4033,0.88,1.0
516,4035,0.1,0.89
517,4036,0.09,0.86
518,4039,0.44,0.54
519,4040,0.39,0.51
520,87886,0.87,0.94
521,4043,0.74,0.99
522,4047,0.1,0.95
523,4050,0.74,0.82
524,4056,0.75,0.99
525,4059,0.41,0.56
526,4064,0.41,0.45
527,4072,0.09,0.9
528,4081,0.09,0.8
529,88150,0.39,0.57
530,4088,0.4,0.56
531,10090,0.37,0.54
532,4100,0.1,0.84
533,4103,0.43,0.51
534,4112,0.75,0.85
535,4113,0.37,0.56
536,88904,0.11,0.85
537,4121,0.45,0.45
538,4122,0.87,1.0
539,4129,0.11,0.94
540,4133,0.45,0.54
541,89200,0.81,0.87
542,4146,0.77,0.91
543,4150,0.89,
544,4151,0.43,0.49
545,4156,0.78,1.0
546,89790,0.37,0.47
547,4162,0.37,0.5
548,4163,0.85,0.82
549,4164,0.41,0.47
550,91196,0.11,0.96
551,91780,0.75,0.99
552,4175,0.82,0.85
553,4176,0.79,1.0
554,4179,0.43,0.53
555,2510,0.1,0.9
556,4184,0.46,0.48
557,4190,0.43,0.57
558,4192,0.43,0.55
559,4200,0.11,0.8
560,4201,0.09,0.86
561,4202,0.37,0.53
562,4206,0.4,0.57
563,4208,0.1,0.77
564,4211,0.41,0.53
565,4214,0.79,0.58
566,4218,0.11,0.79
567,4228,0.1,0.97
568,4231,0.44,0.51
569,4235,0.25,0.46
570,4238,0.44,0.52
571,32052,0.73,1.0
572,92981,0.75,0.97
573,4253,0.36,0.47
574,4256,0.37,0.49
575,4264,0.39,0.49
576,93517,0.48,0.78
577,4271,0.57,0.72
578,13127,0.9,0.96
579,4277,0.39,0.55
580,4286,0.44,0.51
581,4287,0.81,0.88
582,4295,0.74,0.87
583,4296,0.44,0.56
584,4300,0.41,0.56
585,93940,0.4,0.51
586,4318,0.46,0.57
587,4319,0.8,0.83
588,4330,0.87,0.9
589,4333,0.39,0.54
590,4346,0.38,0.55
591,4356,0.66,0.67
592,4357,0.1,0.8
593,4364,0.37,0.54
594,4368,0.1,0.77
595,4383,0.09,0.87
596,94048,0.86,0.84
597,4405,0.11,0.9
598,4406,0.37,0.46
599,94339,0.11,0.92
600,4417,0.77,0.98
601,4427,0.84,0.94
602,4431,0.1,0.84
603,38010,0.83,0.9
604,4450,0.11,0.79
605,4451,0.86,0.92
606,97153,0.38,0.56
607,38135,0.11,0.88
608,4461,0.45,0.49
609,4462,0.1,0.85
610,99332,0.09,0.95
611,4473,0.39,0.53
612,4475,0.37,0.47
613,4477,0.81,0.97
614,4478,0.09,0.9
615,4492,0.1,0.88
616,4494,0.39,0.49
617,4511,0.83,0.95
618,4515,0.45,0.57
619,4521,0.43,0.51
620,4534,0.8,0.75
621,4546,0.1,0.86
622,4552,0.1,0.55
623,4568,0.36,0.52
624,4573,0.38,0.5
625,4587,0.78,0.98
626,4588,0.44,0.49
627,1707,0.41,0.46
628,2823,0.72,0.85
629,4595,0.46,0.54
630,4598,0.1,0.9
631,4601,0.34,0.67
632,5413,0.11,0.89
633,4614,0.38,0.56
634,4615,0.82,0.92
635,4617,0.39,0.57
636,4624,0.44,0.53
637,4625,0.43,0.52
638,4633,0.84,0.83
639,4645,0.43,0.48
640,4646,0.37,0.52
641,4647,0.74,0.97
642,4651,0.73,0.97
643,5556,0.37,0.47
644,4656,0.58,0.62
645,4657,0.4,0.54
646,5572,0.51,0.83
647,4671,0.46,0.5
648,95594,0.45,0.54
649,4683,0.46,0.5
650,4686,0.39,0.45
651,4700,0.09,0.88
652,4701,0.09,0.77
653,7868,0.37,0.51
654,4710,0.1,0.89
655,4721,0.77,1.0
656,4723,0.79,0.86
657,4736,0.43,0.55
658,4738,0.38,0.53
659,4746,0.77,0.91
660,4754,0.44,0.5
661,8821,0.39,0.46
662,4758,0.78,0.89
663,10101,0.1,0.79
664,4765,0.1,0.77
665,10635,0.75,0.85
666,4767,0.46,0.62
667,4775,0.91,0.97
668,4806,0.1,0.92
669,4822,0.72,0.6
670,4823,0.11,0.95
671,4824,0.11,0.94
672,4837,0.46,0.57
673,4838,0.37,0.46
674,4839,0.46,0.5
675,4840,0.43,0.57
676,4841,0.11,0.82
677,4845,0.73,0.89
678,4849,0.43,0.47
679,4853,0.86,1.0
680,4868,0.1,0.83
681,4871,0.4,0.49
682,4882,0.11,0.87
683,4884,0.86,0.98
684,4885,0.42,1.0
685,4889,0.79,0.84
686,4908,0.1,0.96
687,4916,0.09,0.92
688,4928,0.09,0.82
689,4934,0.87,1.0
690,14116,0.36,0.49
691,4945,0.42,0.75
692,4958,0.84,0.86
693,4959,0.1,0.83
694,4969,0.78,0.71
695,4974,0.35,0.99
696,4979,0.1,0.81
697,4980,0.11,0.8
698,4981,0.43,0.48
699,16102,0.38,0.45
700,4996,0.46,0.54
701,5008,0.89,0.82
702,5014,0.45,0.5
703,5015,0.44,0.53
704,5017,0.74,0.54
705,5019,0.45,0.54
706,5035,0.79,0.93
707,5044,0.79,0.91
708,5049,0.11,0.87
709,5052,0.42,0.48
710,5055,0.64,0.9
711,5060,0.4,0.55
712,5063,0.84,0.98
713,5066,0.73,0.92
714,5077,0.4,0.51
715,5080,0.36,0.45
716,5085,0.43,0.47
717,5089,0.11,0.78
718,5091,0.91,1.0
719,5092,0.8,1.0
720,5096,0.42,0.49
721,17912,0.31,0.87
722,5103,0.44,0.47
723,18531,0.38,0.54
724,5112,0.45,0.56
725,5136,0.43,0.46
726,5138,0.45,0.46
727,5143,0.43,0.57
728,5147,0.43,0.49
729,5149,0.09,0.83
730,5152,0.43,0.47
731,5167,0.79,0.94
732,5169,0.85,0.58
733,5177,0.38,0.45
734,19661,0.11,0.92
735,20715,0.83,0.99
736,5182,0.81,0.91
737,5183,0.42,0.56
738,99770,0.11,0.87
739,24446,0.11,0.85
740,24553,0.1,0.89
741,5215,0.5,0.54
742,5218,0.44,0.49
743,5225,0.11,0.9
744,5227,0.39,0.52
745,5230,0.11,0.78
746,5235,0.36,0.5
747,5237,0.43,0.51
748,5241,0.4,0.5
749,5256,0.86,0.84
750,5258,0.38,0.49
751,5259,0.46,0.45
752,5263,0.37,0.57
753,5265,0.43,0.52
754,5275,0.66,0.93
755,24876,0.37,0.48
756,5279,0.77,0.92
757,5284,0.38,0.55
758,5292,0.39,0.54
759,5297,0.41,0.55
760,5301,0.1,0.9
761,5303,0.09,0.93
762,26638,0.41,0.47
763,5307,0.39,0.46
764,5312,0.83,0.99
765,5313,0.09,0.87
766,5317,0.75,0.81
767,5321,0.44,0.54
768,5337,0.1,0.84
769,5343,0.42,0.46
770,5362,0.1,0.83
771,5384,0.1,0.86
772,5389,0.31,0.77
773,5397,0.42,0.54
774,5398,0.38,0.5
775,27094,0.39,0.57
776,5404,0.1,0.97
777,27277,0.11,0.93
778,5416,0.1,0.92
779,5417,0.11,0.9
780,5439,0.44,0.65
781,5458,0.91,0.96
782,27966,0.72,1.0
783,30077,0.36,0.46
784,5471,0.44,0.57
785,5477,0.85,0.99
786,5483,0.78,0.93
787,5489,0.39,0.46
788,30753,0.78,0.81
789,5510,0.1,0.92
790,5513,0.23,0.99
791,31809,0.11,0.87
792,5538,0.9,0.83
793,13245,0.91,0.89
794,5542,0.11,0.79
795,5543,0.43,0.54
796,5551,0.45,0.49
797,32681,0.11,0.91
798,34840,0.11,0.93
799,5567,0.43,0.5
800,35277,0.91,0.97
801,5577,0.43,0.55
802,5580,0.85,0.82
803,5593,0.1,0.77
804,5595,0.81,0.95
805,5609,0.36,0.62
806,5621,0.45,0.54
807,36819,0.86,1.0
808,5636,0.71,1.0
809,5641,0.11,0.97
810,5642,0.84,0.93
811,5649,0.09,0.97
812,5650,0.38,0.49
813,5658,0.15,0.55
814,37263,0.1,0.92
815,5662,0.8,0.97
816,5666,0.84,0.97
817,5668,0.11,0.87
818,5670,0.89,0.79
819,5681,0.45,0.51
820,37430,0.11,0.93
821,5700,0.74,0.93
822,5707,0.41,0.5
823,5713,0.44,0.53
824,5724,0.37,0.56
825,27848,0.11,0.86
826,5734,0.1,0.93
827,5737,0.7,0.74
828,38007,0.59,1.0
829,5747,0.38,0.53
830,5754,0.72,0.95
831,5757,0.73,1.0
832,39770,0.39,0.48
833,5771,0.89,0.82
834,5772,0.89,1.0
835,39878,0.11,0.78
836,5783,0.43,0.56
837,5800,0.09,0.93
838,5801,0.81,0.9
839,5802,0.37,0.53
840,5803,0.36,0.56
841,41254,0.11,0.85
842,5832,0.1,0.85
843,5833,0.66,0.47
844,5842,0.39,0.47
845,5844,0.44,0.51
846,5847,0.1,0.84
847,5851,0.79,0.94
848,5863,0.1,0.81
849,5867,0.54,0.94
850,5868,0.37,0.47
851,5870,0.37,0.57
852,5884,0.82,0.89
853,5895,0.45,0.52
854,5900,0.79,0.9
855,5902,0.42,0.56
856,5907,0.1,0.85
857,5912,0.11,0.78
858,5913,0.74,1.0
859,5914,0.1,0.93
860,5922,0.79,1.0
861,5925,0.43,0.48
862,5926,0.41,0.47
863,5929,0.39,0.55
864,5947,0.1,0.94
865,5958,0.82,0.85
866,5961,0.41,0.46
867,41844,0.42,0.56
868,5985,0.74,0.88
869,5989,0.38,0.57
870,6005,0.39,0.56
871,6016,0.87,0.94
872,6020,0.1,0.9
873,6025,0.78,1.0
874,6039,0.14,0.73
875,6061,0.11,0.94
876,6067,0.91,0.94
877,6070,0.49,0.63
878,6081,0.38,0.47
879,42679,0.82,0.97
880,6090,0.38,0.88
881,6094,0.89,1.0
882,6103,0.11,0.79
883,6104,0.37,0.51
884,6105,0.38,0.5
885,6115,0.78,0.87
886,6142,0.41,0.51
887,6159,0.41,0.51
888,6160,0.11,0.83
889,6162,0.11,0.79
890,6163,0.43,0.57
891,6173,0.75,0.86
892,43615,0.74,
893,6185,0.85,0.85
894,6187,0.73,0.92
895,6199,0.1,0.79
896,6210,0.44,0.56
897,6211,0.3,0.56
898,6212,0.11,0.77
899,6213,0.84,0.83
900,6229,0.78,0.94
901,6236,0.43,0.53
902,6242,0.36,0.55
903,6243,0.43,0.47
904,6246,0.45,0.46
905,43782,0.76,0.93
906,6250,0.1,0.78
907,6261,0.09,0.86
908,6275,0.92,1.0
909,45840,0.92,0.9
910,6284,0.79,0.98
911,6290,0.43,0.51
912,6294,0.8,0.95
913,6295,0.44,0.49
914,6300,0.89,0.87
915,6312,0.48,0.88
916,6317,0.11,0.82
917,6318,0.38,0.55
918,6319,0.11,0.85
919,6322,0.82,0.86
920,6323,0.37,0.45
921,46052,0.4,0.48
922,6328,0.43,0.47
923,6332,0.44,0.5
924,46303,0.42,0.56
925,6342,0.11,0.8
926,6343,0.78,0.87
927,6351,0.46,0.86
928,6355,0.77,0.91
929,6360,0.83,0.82
930,6370,0.32,0.58
931,6379,0.9,0.92
932,6381,0.42,0.52
933,6383,0.1,0.96
934,46375,0.1,0.91
935,6402,0.44,0.49
936,6407,0.1,0.95
937,47485,0.11,0.8
938,6415,0.1,0.89
939,6417,0.39,0.47
940,6421,0.92,0.92
941,6429,0.43,0.56
942,6444,0.11,0.89
943,6446,0.81,1.0
944,6448,0.11,0.85
945,6452,0.87,1.0
946,6454,0.37,0.46
947,6456,0.39,0.56
948,6465,0.61,0.86
949,6476,0.11,0.95
950,6479,0.09,0.9
951,47862,0.36,0.52
952,47885,0.09,0.94
953,6499,0.41,0.71
954,6511,0.4,0.46
955,6512,0.1,0.91
956,6534,0.46,0.53
957,6540,0.39,0.57
958,6544,0.41,0.5
959,48256,0.1,0.94
960,6559,0.39,0.51
961,6564,0.73,0.83
962,6576,0.41,0.45
963,6577,0.37,0.51
964,6590,0.38,0.5
965,6604,0.8,0.63
966,6607,0.09,0.85
967,6608,0.85,0.92
968,6617,0.42,0.54
969,48293,0.41,0.48
970,6637,0.38,0.46
971,6638,0.72,1.0
972,6642,0.11,0.74
973,6646,0.37,0.47
974,6647,0.1,0.81
975,6648,0.36,0.54
976,6658,0.92,0.94
977,6662,0.11,0.87
978,6665,0.39,0.56
979,6668,0.11,0.95
980,6673,0.45,0.45
981,48335,0.44,0.55
982,6676,0.85,0.97
983,6686,0.43,0.52
984,6706,0.75,0.86
985,6707,0.11,0.55
986,6716,0.36,0.5
987,6721,0.1,0.79
988,6723,0.74,0.89
989,6737,0.4,0.46
990,6750,0.09,0.77
991,6753,0.76,0.91
992,6768,0.45,0.57
993,48586,0.84,0.88
994,6773,0.38,0.45
995,6776,0.38,0.46
996,6778,0.38,0.54
997,6779,0.86,0.94
998,6780,0.37,0.46
999,6785,0.37,0.5
1000,6792,0.87,1.0
1001,6807,0.11,0.85
1002,48835,0.42,0.5
1003,49083,0.43,0.48
1004,6824,0.09,0.8
1005,6827,0.54,0.56
1006,6832,0.4,0.47
1007,50204,0.36,0.52
1008,6835,0.87,0.9
1009,50971,0.75,0.88
1010,51144,0.43,0.53
1011,6843,0.43,0.47
1012,31557,0.1,0.87
1013,52732,0.11,0.78
1014,6854,0.44,0.53
1015,56373,0.39,0.48
1016,6862,0.4,0.55
1017,56767,0.92,0.87
1018,58910,0.36,0.47
1019,59058,0.86,0.95
1020,6875,0.74,0.87
1021,6878,0.8,0.95
1022,6884,0.36,0.48
1023,6885,0.42,0.57
1024,6896,0.42,0.47
1025,6898,0.4,0.45
1026,6902,0.46,0.53
1027,60825,0.09,0.9
1028,6927,0.88,0.89
1029,6933,0.1,0.82
1030,6934,0.1,0.97
1031,6939,0.11,0.93
1032,6941,0.84,0.88
1033,6948,0.42,0.56
1034,6955,0.1,0.86
1035,6958,0.1,0.95
1036,6959,0.46,0.54
1037,61720,0.09,0.97
1038,61979,0.89,1.0
1039,6967,0.82,1.0
1040,6975,0.11,0.89
1041,6992,0.81,0.84
1042,6993,0.81,0.94
1043,6998,0.77,1.0
1044,7006,0.63,0.94
1045,35810,0.4,0.57
1046,7012,0.86,1.0
1047,7017,0.37,0.49
1048,7021,0.44,0.5
1049,62769,0.74,0.89
1050,7028,0.79,1.0
1051,7031,0.09,0.92
1052,7035,0.37,0.48
1053,63394,0.09,0.78
1054,7060,0.09,0.84
1055,7066,0.1,0.8
1056,63737,0.45,0.56
1057,7074,0.4,0.51
1058,7075,0.31,0.95
1059,7079,0.7,0.93
1060,7086,0.36,0.48
1061,7089,0.34,0.97
1062,7090,0.87,0.83
1063,64689,0.11,0.91
1064,7101,0.47,0.81
1065,7108,0.43,0.52
1066,65273,0.43,0.47
1067,7115,0.45,0.57
1068,7117,0.74,1.0
1069,7120,0.1,0.89
1070,7123,0.78,0.87
1071,7124,0.9,0.95
1072,7128,0.53,0.95
