,empid,projid,duration,tenure,safety,churn,advancement,department,salary
216,2279,3,234,7,0,0,0,product_mng,high
217,2283,2,140,3,0,1,0,hr,low
218,38260,4,228,5,0,1,0,product_mng,low
219,2299,6,131,7,1,0,0,sales,medium
220,2300,3,296,3,0,1,0,hr,medium
221,38901,5,186,3,0,0,0,support,high
222,2311,3,164,4,1,0,0,sales,low
223,2314,2,145,3,0,1,0,technical,low
224,2318,3,151,2,0,0,0,technical,low
225,2340,4,225,3,0,0,0,sales,low
226,2346,2,165,3,0,1,0,sales,low
227,2362,3,127,3,0,0,0,support,low
228,2363,3,260,3,0,0,0,support,medium
229,40347,2,262,3,1,1,0,technical,medium
230,2395,4,242,3,0,0,0,sales,medium
231,2402,2,124,3,0,1,0,RandD,medium
232,2405,3,135,3,0,0,0,sales,low
233,2415,4,255,3,0,0,0,sales,low
234,40729,4,253,2,0,0,0,support,medium
235,2434,3,125,2,0,0,0,support,medium
236,2444,3,193,3,0,0,0,IT,high
237,41054,6,267,4,0,1,0,sales,low
238,41767,3,164,3,1,0,0,support,low
239,64871,4,125,3,0,0,0,technical,medium
240,2468,6,197,2,0,0,0,technical,high
241,2475,4,270,3,1,0,0,technical,low
242,2476,3,188,3,0,0,0,support,low
243,97541,4,250,2,0,0,0,technical,medium
244,2488,5,143,4,0,0,0,support,high
245,42255,4,254,3,1,0,0,technical,medium
246,98548,4,179,10,0,0,0,sales,high
247,25138,2,144,3,0,1,0,sales,low
248,2514,4,256,2,1,0,0,sales,medium
249,2515,5,211,3,1,0,0,sales,low
250,2523,2,159,3,0,1,0,technical,high
251,2561,3,257,2,0,0,0,marketing,medium
252,2565,5,228,3,0,0,0,IT,medium
253,2568,3,193,3,0,0,0,technical,low
254,2571,4,164,3,0,0,0,sales,low
255,2579,3,143,3,0,0,0,accounting,medium
256,44247,4,271,3,0,0,0,IT,medium
257,2605,3,207,4,1,0,0,support,low
258,2613,3,270,4,0,0,0,sales,medium
259,45097,5,180,5,1,0,0,technical,high
260,2630,3,199,3,0,0,0,technical,high
261,2632,2,144,3,0,1,0,marketing,low
262,2634,2,147,3,0,1,0,sales,low
263,2645,4,143,4,0,0,0,support,medium
264,45783,5,149,2,0,0,0,sales,medium
265,2658,4,152,3,0,0,0,sales,medium
266,2665,4,148,4,0,0,0,accounting,low
267,2672,3,264,2,0,0,0,product_mng,high
268,2675,6,232,3,0,0,0,technical,low
269,2677,4,245,2,0,0,0,product_mng,medium
270,49125,4,169,2,0,0,0,IT,low
271,2679,3,239,3,0,0,0,IT,medium
272,2684,5,251,4,0,0,0,RandD,low
273,2692,4,214,4,0,0,0,IT,low
274,2693,2,135,2,0,1,0,sales,medium
275,2699,3,189,3,0,0,0,RandD,low
276,2701,6,283,5,0,1,0,support,medium
277,2727,2,127,3,0,1,0,support,low
278,49502,4,224,3,1,0,0,support,medium
279,53338,5,281,5,0,1,0,product_mng,low
280,2748,5,241,6,0,1,0,support,low
281,54165,2,140,3,0,1,0,support,low
282,2753,5,161,3,0,0,0,support,medium
283,2766,7,296,4,0,1,0,sales,low
284,2767,4,267,7,0,0,0,IT,medium
285,2770,2,134,4,0,0,0,product_mng,low
286,2771,6,260,3,1,0,0,hr,medium
287,2773,3,246,2,1,0,0,sales,low
288,2777,3,228,4,0,0,0,sales,low
289,2782,4,253,3,0,1,0,sales,low
290,27617,5,217,2,0,0,0,technical,medium
291,2784,5,202,3,0,0,0,marketing,low
292,2786,2,139,3,0,1,0,hr,medium
293,55195,4,221,2,0,0,0,support,medium
294,2807,6,269,4,1,1,0,hr,low
295,2821,3,186,2,0,0,0,RandD,medium
296,55937,3,100,2,0,0,0,technical,low
297,2831,6,249,4,0,1,0,hr,low
298,56819,5,273,2,1,0,0,support,low
299,56864,5,186,4,0,0,0,management,low
300,2841,4,273,3,0,0,0,sales,medium
301,2847,3,134,4,0,0,0,IT,low
302,57006,5,148,4,0,0,0,technical,low
303,2880,4,172,10,0,0,0,IT,low
304,2881,3,194,3,0,0,0,technical,medium
305,2882,2,153,3,0,1,0,RandD,low
306,57209,4,222,4,0,0,0,product_mng,low
307,2896,2,261,3,1,0,0,technical,medium
308,2899,3,156,4,0,0,0,hr,low
309,2901,3,136,3,0,0,0,management,medium
310,2912,4,228,3,0,0,0,management,medium
311,2916,3,135,4,1,0,0,product_mng,medium
312,2921,5,258,5,0,1,0,support,low
313,2923,5,120,6,0,0,0,sales,low
314,2924,4,136,2,0,0,0,technical,medium
315,58161,3,240,2,1,0,0,IT,medium
316,2932,5,237,4,0,0,0,sales,low
317,2933,3,146,2,0,0,0,hr,medium
318,2940,2,145,3,1,0,0,sales,low
319,2944,4,145,4,0,0,0,technical,medium
320,2945,4,113,2,0,0,0,support,low
321,2949,2,100,3,0,0,0,sales,medium
322,2972,3,254,2,0,0,0,sales,medium
323,58798,4,253,3,0,0,0,RandD,low
324,2988,6,242,4,0,1,0,IT,medium
325,2990,5,210,3,0,0,0,product_mng,low
326,58972,5,255,6,0,1,0,RandD,medium
327,59323,2,132,3,0,1,0,IT,low
328,3010,4,133,3,0,0,0,sales,low
329,3011,4,200,3,0,0,0,technical,medium
330,3013,4,249,3,0,0,0,sales,low
331,59644,4,160,3,0,0,0,technical,medium
332,3022,3,199,4,0,0,0,technical,medium
333,3024,2,139,3,0,1,0,technical,medium
334,59872,5,265,4,0,0,0,sales,medium
335,3042,5,182,2,0,0,0,support,medium
336,3047,3,226,2,0,0,0,sales,low
337,3048,5,250,2,0,0,0,sales,low
338,3064,3,262,3,1,0,0,technical,low
339,3069,4,180,5,0,0,0,sales,medium
340,3091,4,131,4,0,0,0,support,medium
341,3093,4,200,2,0,0,0,support,low
342,60841,3,250,2,0,0,0,support,low
343,3096,3,233,2,0,0,0,RandD,medium
344,3100,3,244,3,0,0,0,IT,low
345,3101,3,182,3,1,0,0,management,low
346,61868,5,143,2,0,0,0,technical,low
347,3120,5,234,5,0,1,0,sales,medium
348,3122,3,268,2,0,0,0,support,high
349,3132,2,139,3,1,0,0,technical,medium
350,3137,5,189,4,1,0,0,support,medium
351,64897,5,170,4,0,0,0,support,low
352,3150,4,202,2,0,0,0,technical,low
353,3159,5,175,3,0,0,0,support,medium
354,3160,3,123,5,1,0,0,RandD,medium
355,3165,2,136,3,0,1,0,sales,medium
356,65495,2,129,3,0,1,0,RandD,low
357,3179,4,201,3,0,0,0,management,medium
358,3185,6,215,3,0,0,0,support,medium
359,3191,6,279,4,0,1,0,sales,low
360,66022,5,248,4,0,1,0,marketing,medium
361,3195,4,212,2,0,0,0,marketing,low
362,3204,3,202,3,0,0,0,product_mng,low
363,3205,5,224,2,1,0,0,RandD,low
364,66592,2,146,4,0,0,0,technical,medium
365,3217,3,98,4,0,0,0,support,low
366,68266,2,136,3,0,1,0,IT,low
367,3233,5,231,3,0,0,0,technical,low
368,3234,2,131,3,0,1,0,IT,low
369,3238,4,238,5,0,0,0,sales,medium
370,3240,4,225,2,0,0,0,support,medium
371,68351,6,261,5,0,0,0,technical,low
372,3245,2,137,3,0,1,0,sales,low
373,3246,2,158,2,1,0,0,sales,low
374,68379,5,272,2,0,0,0,support,low
375,3249,2,151,3,0,1,0,sales,medium
376,3250,3,257,4,1,0,0,support,low
377,69294,4,183,2,0,0,0,RandD,medium
378,3259,3,244,3,1,0,0,sales,low
379,3260,7,259,4,1,1,0,sales,low
380,3262,3,260,2,0,0,0,IT,medium
381,40488,3,131,3,0,0,0,sales,medium
382,3288,4,159,4,0,0,0,support,low
383,3289,2,140,3,0,1,0,sales,medium
384,3297,2,139,3,0,1,0,hr,low
385,3305,4,181,4,0,0,0,support,medium
386,3306,2,132,3,0,1,0,sales,low
387,3309,6,250,5,0,1,0,accounting,low
388,3311,4,244,3,0,0,0,IT,medium
389,48921,3,196,5,0,0,0,marketing,medium
390,99746,4,206,2,0,0,0,support,medium
391,73366,3,225,2,0,0,0,sales,low
392,73530,3,220,3,0,0,0,sales,medium
393,3332,3,162,3,0,0,0,hr,low
394,3344,7,298,4,0,1,0,technical,low
395,3347,4,182,2,0,0,0,IT,medium
396,3350,4,260,3,0,0,0,sales,low
397,3354,2,197,4,0,0,0,sales,medium
398,3369,2,254,3,0,0,0,management,medium
399,3381,4,163,3,0,0,0,sales,low
400,3396,5,179,6,0,0,0,accounting,low
401,74142,2,135,3,0,1,0,RandD,low
402,3405,2,132,3,0,1,0,sales,low
403,3406,3,199,10,0,0,0,management,high
404,74582,3,146,3,1,0,0,sales,medium
405,3422,5,257,2,0,0,0,support,medium
406,3425,4,178,5,0,0,0,accounting,low
407,75664,5,222,5,0,1,0,sales,medium
408,3461,2,134,3,0,1,0,hr,low
409,76341,4,275,5,0,1,0,sales,low
410,3465,4,166,3,0,0,0,technical,low
411,77736,4,279,3,0,0,0,product_mng,low
412,3482,4,185,6,0,0,0,support,medium
413,3484,2,146,3,0,1,0,sales,high
414,3502,2,188,2,0,0,0,hr,low
415,78076,3,173,4,0,0,0,accounting,medium
416,3506,2,160,3,1,0,0,support,medium
417,3517,3,159,4,0,1,0,IT,medium
418,3518,5,254,3,0,0,0,support,medium
419,3521,3,170,3,0,0,0,sales,medium
420,3530,3,235,4,1,0,0,marketing,medium
421,3531,2,141,3,0,1,0,hr,low
422,3535,4,260,4,0,0,0,support,medium
423,3536,4,143,4,1,0,0,product_mng,medium
424,3546,3,165,2,0,0,0,sales,low
425,3548,4,267,5,0,1,0,technical,medium
426,3550,2,157,3,0,1,0,marketing,medium
427,78130,3,276,2,1,0,0,hr,high
428,3569,4,247,3,0,0,0,technical,medium
429,3573,2,224,3,0,1,0,sales,low
430,3574,2,137,3,0,1,0,technical,high
431,3575,3,136,7,0,0,0,sales,medium
432,3588,4,174,3,0,0,0,support,medium
433,3596,4,176,3,0,0,0,sales,medium
434,3597,4,191,3,0,0,0,RandD,high
435,3598,4,133,2,1,0,0,RandD,medium
436,12625,5,189,4,0,0,0,sales,medium
437,79881,4,257,3,1,0,0,support,low
438,3615,4,193,3,1,0,0,technical,low
439,3623,2,127,3,0,1,0,technical,medium
440,3633,3,265,4,0,0,0,RandD,low
441,3634,2,132,3,0,1,0,sales,low
442,3635,5,253,5,0,1,0,sales,low
443,3636,4,149,4,1,0,0,support,medium
444,3643,3,263,2,0,0,0,IT,medium
445,3654,4,216,3,0,0,0,support,low
446,3655,3,168,2,0,0,0,accounting,medium
447,3658,5,233,5,0,1,0,support,low
448,3664,4,163,4,1,0,0,technical,medium
449,3665,3,271,3,0,0,0,accounting,low
450,3667,4,144,4,0,0,0,sales,medium
451,3669,5,166,6,0,0,0,IT,medium
452,3686,2,155,3,0,1,0,marketing,low
453,3694,6,227,3,0,0,0,marketing,medium
454,3697,6,245,4,1,0,0,technical,low
455,3699,5,176,3,0,0,0,sales,low
456,3700,4,203,5,0,0,0,sales,medium
457,3706,3,178,2,0,0,0,support,medium
458,3707,3,167,8,0,0,0,sales,low
459,3719,5,272,2,0,0,0,accounting,low
460,3722,3,270,3,1,0,0,RandD,low
461,81317,3,244,4,0,0,0,sales,high
462,82607,3,241,3,0,0,0,technical,medium
463,3736,4,264,2,0,0,0,technical,medium
464,3743,2,237,5,0,0,0,technical,low
465,3745,2,141,3,0,1,0,sales,low
466,3747,4,134,2,1,0,0,sales,medium
467,3754,3,223,3,0,0,0,sales,low
468,3755,2,150,3,0,1,0,marketing,medium
469,3771,4,240,2,1,0,0,technical,low
470,3788,2,135,3,0,1,0,IT,low
471,83066,5,178,3,0,0,0,sales,low
472,3799,3,278,3,0,0,0,support,low
473,3807,7,260,5,0,1,0,technical,low
474,3813,2,180,3,0,0,0,marketing,medium
475,3826,3,184,2,0,0,0,support,low
476,3832,2,156,3,1,1,0,hr,low
477,3857,5,264,3,0,0,0,sales,low
478,3860,3,200,5,1,0,0,RandD,low
479,3868,5,228,5,0,1,0,marketing,low
480,3874,5,180,4,0,0,0,support,low
481,3876,5,247,2,0,0,0,accounting,low
482,3877,4,252,3,0,0,0,technical,high
483,3879,5,228,2,0,0,0,sales,low
484,3888,2,150,3,0,1,0,sales,high
485,20539,4,272,2,0,0,0,sales,low
486,3897,4,223,2,0,0,0,sales,medium
487,83745,2,255,4,0,0,0,RandD,medium
488,3914,3,207,2,0,0,0,sales,low
489,3916,3,148,3,0,0,0,support,low
490,3918,5,208,5,0,0,0,technical,medium
491,3921,3,143,6,0,0,0,IT,high
492,3924,4,184,3,0,0,0,sales,low
493,84739,5,272,4,0,1,0,marketing,low
494,3927,4,155,3,0,0,0,technical,medium
495,3930,3,139,2,0,0,0,support,medium
496,3945,4,133,2,1,0,0,technical,low
497,3949,2,151,3,0,1,0,support,low
498,3959,2,127,7,1,0,0,sales,low
499,85378,4,184,3,0,0,0,sales,high
500,3968,3,239,3,0,0,0,support,medium
501,3969,4,142,2,0,0,0,support,medium
502,3972,2,127,3,0,1,0,technical,low
503,3976,2,137,5,0,1,0,sales,medium
504,3978,5,132,3,0,0,0,sales,high
505,3982,2,152,2,0,0,0,product_mng,medium
506,85447,4,268,3,0,0,0,sales,low
507,86971,6,277,2,0,1,0,sales,medium
508,3996,5,237,2,0,0,0,support,medium
509,86978,3,157,3,0,0,0,hr,medium
510,42623,5,214,2,0,0,0,accounting,high
511,4000,4,172,4,0,0,0,IT,medium
512,4011,4,185,3,0,0,0,sales,medium
513,4013,4,218,3,0,0,0,product_mng,high
514,4027,4,145,3,0,0,0,hr,high
515,4033,4,234,5,1,1,0,marketing,medium
516,4035,6,205,5,0,0,0,hr,medium
517,4036,4,190,5,0,0,0,technical,high
518,4039,6,305,4,1,1,0,IT,low
519,4040,6,293,4,0,1,0,IT,low
520,87886,3,220,6,0,0,0,marketing,low
521,4043,6,260,6,0,0,0,product_mng,low
522,4047,4,152,3,0,0,0,sales,low
523,4050,3,259,3,0,0,0,product_mng,low
524,4056,3,207,3,0,0,0,support,medium
525,4059,4,224,5,0,1,0,sales,low
526,4064,5,171,3,0,0,0,technical,medium
527,4072,3,226,5,0,0,0,IT,low
528,4081,5,266,2,0,0,0,sales,low
529,88150,6,290,4,0,1,0,technical,low
530,4088,5,246,2,0,0,0,product_mng,low
531,10090,4,116,2,1,0,0,sales,low
532,4100,2,159,3,0,1,0,technical,low
533,4103,3,201,2,0,0,0,sales,medium
534,4112,3,126,3,1,0,0,management,medium
535,4113,2,140,3,0,1,0,sales,low
536,88904,5,234,6,0,1,0,technical,medium
537,4121,4,210,3,0,0,0,technical,medium
538,4122,3,205,2,0,0,0,technical,low
539,4129,4,209,3,0,0,0,sales,high
540,4133,3,238,4,0,0,0,IT,low
541,89200,5,146,5,1,0,0,RandD,low
542,4146,4,259,3,0,0,0,support,medium
543,4150,3,223,3,0,0,0,sales,low
544,4151,3,239,2,0,0,0,technical,medium
545,4156,3,225,3,0,0,0,sales,low
546,89790,7,264,5,0,1,0,technical,low
547,4162,2,128,3,0,1,0,accounting,low
548,4163,3,164,7,0,0,1,management,high
549,4164,6,246,4,0,1,0,accounting,medium
550,91196,6,293,4,0,1,0,technical,low
551,91780,2,145,3,1,0,0,product_mng,medium
552,4175,4,264,5,0,0,0,technical,low
553,4176,5,239,4,0,0,0,support,low
554,4179,5,137,3,0,0,0,IT,medium
555,2510,3,230,4,0,0,0,RandD,low
556,4184,5,189,4,0,0,0,IT,medium
557,4190,4,227,3,0,0,0,support,low
558,4192,7,251,5,0,1,0,RandD,medium
559,4200,4,237,3,0,0,0,sales,medium
560,4201,5,171,2,0,0,0,support,medium
561,4202,3,241,10,0,0,1,sales,medium
562,4206,4,247,3,1,0,0,sales,low
563,4208,2,155,2,0,0,0,sales,low
564,4211,6,309,4,0,1,0,technical,low
565,4214,4,193,3,0,0,0,technical,medium
566,4218,3,169,4,1,0,0,marketing,medium
567,4228,4,209,4,1,0,0,accounting,low
568,4231,4,153,4,0,1,0,sales,medium
569,4235,6,261,4,0,1,0,hr,low
570,4238,4,154,2,0,0,0,sales,medium
571,32052,6,275,4,0,1,0,technical,medium
572,92981,5,165,2,0,0,0,technical,low
573,4253,3,223,4,0,0,0,RandD,low
574,4256,7,260,4,0,1,0,accounting,low
575,4264,6,139,3,1,0,0,sales,low
576,93517,3,200,3,0,0,0,management,high
577,4271,4,268,3,0,0,0,RandD,high
578,13127,3,154,3,0,0,0,support,medium
579,4277,3,227,4,0,0,0,IT,medium
580,4286,4,241,2,0,0,0,RandD,low
581,4287,3,132,5,0,0,0,technical,medium
582,4295,4,262,4,1,0,0,sales,medium
583,4296,3,198,2,0,0,0,technical,low
584,4300,4,216,2,0,0,0,RandD,medium
585,93940,4,259,2,0,0,0,sales,low
586,4318,5,265,5,0,1,0,technical,medium
587,4319,4,174,2,0,0,0,support,medium
588,4330,2,133,3,0,1,0,hr,low
589,4333,5,203,5,0,0,0,support,medium
590,4346,3,247,2,0,0,0,sales,low
591,4356,6,261,4,0,1,0,hr,low
592,4357,2,155,3,0,1,0,sales,medium
593,4364,4,160,2,0,0,0,sales,low
594,4368,3,229,2,0,0,0,sales,medium
595,4383,6,272,4,0,1,0,sales,medium
596,94048,4,188,5,0,0,0,technical,low
597,4405,4,184,6,0,0,0,hr,medium
598,4406,5,262,4,0,1,0,hr,low
599,94339,4,229,2,0,0,0,management,medium
600,4417,5,152,2,0,0,0,technical,medium
601,4427,2,162,3,0,1,0,sales,low
602,4431,3,259,3,0,0,0,marketing,low
603,38010,6,291,4,0,1,0,sales,low
604,4450,5,151,4,1,0,0,technical,medium
605,4451,6,257,4,0,0,0,hr,medium
606,97153,4,177,3,0,0,0,marketing,low
607,38135,3,264,5,0,1,0,accounting,medium
608,4461,4,266,5,0,1,0,technical,low
609,4462,4,185,4,1,0,0,marketing,low
610,99332,2,143,3,0,1,0,sales,low
611,4473,2,142,3,0,1,0,sales,low
612,4475,4,137,4,1,0,0,technical,low
613,4477,3,168,3,0,0,0,hr,low
614,4478,3,157,3,0,0,0,sales,medium
615,4492,2,200,3,0,0,0,sales,medium
616,4494,2,159,3,0,1,0,IT,low
617,4511,3,267,3,0,0,0,support,medium
618,4515,4,221,3,0,0,0,sales,low
