New Caledonia,269220
Niger,26207977
Nigeria,218541212
Nicaragua,6948392
Netherlands,17700982
Norway,5457127
Nepal,30547580
Nauru,12668
New Zealand,5124100
OECD members,1376606817
Oman,4576298
Other small states,33169026
Pakistan,235824862
Panama,4408581
Peru,34049588
Philippines,115559009
Palau,18055
Papua New Guinea,10142619
Poland,36821749
Pre-demographic dividend,1038012552
Puerto Rico,3221789
"Korea, Dem. People's Rep.",26069416
Portugal,10409704
Paraguay,6780744
West Bank and Gaza,5043612
Pacific island small states,2639019
Post-demographic dividend,1113495082
French Polynesia,306279
Qatar,2695122
Romania,19047009
Russian Federation,144236933
Rwanda,13776698
South Asia,1919348000
Saudi Arabia,36408820
Sudan,46874204
Senegal,17316449
Singapore,5637022
Solomon Islands,724273
Sierra Leone,8605718
El Salvador,6336392
San Marino,33660
Somalia,17597511
Serbia,6664449
Sub-Saharan Africa (excluding high income),1211070124
South Sudan,10913164
Sub-Saharan Africa,1211190002
Small states,43313523
Sao Tome and Principe,227380
Suriname,618040
Slovak Republic,5431752
Slovenia,2111986
Sweden,10486941
Eswatini,1201670
Sint Maarten (Dutch part),42848
Seychelles,119878
Syrian Arab Republic,22125249
Turks and Caicos Islands,45703
Chad,17723315
East Asia & Pacific (IDA & IBRD countries),2103055378
Europe & Central Asia (IDA & IBRD countries),457549063
Togo,8848699
Thailand,71697030
Tajikistan,9952787
Turkmenistan,6430770
Latin America & the Caribbean (IDA & IBRD countries),643602758
Timor-Leste,1341296
Middle East & North Africa (IDA & IBRD countries),419284769
Tonga,106858
South Asia (IDA & IBRD),1919348000
Sub-Saharan Africa (IDA & IBRD countries),1211190002
Trinidad and Tobago,1531044
Tunisia,12356117
Turkiye,84979913
Tuvalu,11312
Tanzania,65497748
Uganda,47249585
Ukraine,38000000
Upper middle income,2784368143
Uruguay,3422794
United States,333287557
Uzbekistan,35648100
St. Vincent and the Grenadines,103948
"Venezuela, RB",28301696
British Virgin Islands,31305
Virgin Islands (U.S.),105413
Viet Nam,98186856
Vanuatu,326740
World,7950946801
Samoa,222382
Kosovo,1761985
"Yemen, Rep.",33696614
South Africa,59893885
Zambia,20017675
Zimbabwe,16320537
